dx,d2x
126.0,195.75
517.5,-115.0
287.5,-19.75
248.0,136.25
520.5,91.5
703.5,-207.75
288.0,-13.5
261.0,426.5
1114.0,-345.5
423.0,-147.75
127.5,-54.75
18.0,49.5
117.0,13.25
143.5,-56.0
31.5,750.25
1532.0,-497.0
538.0,421.0
1380.0,71.0
1522.0,-594.25
333.5,1268.75
2871.0,-483.75
1903.5,28.75
1961.0,-97.0
1767.0,99.5
1966.0,-302.0
1362.0,872.75
3107.5,-996.0
1115.5,1743.0
4601.5,-817.25
2967.0,882.75
4732.5,-1658.25
1416.0,328.0
2072.0,-816.5
439.0,322.5
1084.0,1775.0
4634.0,-2159.5
315.0,-11.0
293.0,45.5
384.0,1.0
386.0,-73.25
239.5,64.25
368.0,251.25
870.5,473.5
1817.5,-673.25
471.0,1794.75
4060.5,-1247.25
1566.0,203.25
1972.5,-900.75
171.0,216.0
603.0,1125.0
2853.0,-904.0
1045.0,-78.0
889.0,1349.25
3587.5,252.5
4092.5,211.75
4516.0,-1113.5
2289.0,65.25
2419.5,-281.25
1857.0,-858.75
139.5,265.0
669.5,836.5
2342.5,274.75
2892.0,-1184.25
523.5,779.5
2082.5,1327.5
4737.5,-231.5
4274.5,-1124.0
2026.5,-723.75
579.0,95.0
769.0,611.75
1992.5,-454.5
1083.5,1708.0
4499.5,-1063.25
2373.0,-846.75
679.5,182.25
1044.0,-397.25
249.5,-56.25
137.0,69.5
276.0,231.0
738.0,-338.5
61.0,224.5
510.0,-187.25
135.5,950.0
2035.5,-907.5
220.5,82.25
385.0,557.0
1499.0,-369.5
760.0,128.75
1017.5,-198.0
621.5,-20.25
581.0,792.0
2165.0,710.0
3585.0,480.0
4545.0,-1474.0
1597.0,-486.5
624.0,920.0
2464.0,-71.0
2322.0,-528.25
1265.5,1052.5
3370.5,-552.75
2265.0,629.75
3524.5,441.0
4406.5,-1630.25
1146.0,1273.0
3692.0,-1708.0
276.0,-114.75
46.5,30.5
107.5,202.0
511.5,-192.0
127.5,-18.25
91.0,3.5
98.0,92.5
283.0,-90.0
103.0,-34.75
33.5,4.75
43.0,10.25
63.5,13.25
90.0,-15.0
60.0,28.0
116.0,-24.0
68.0,-5.0
58.0,-22.25
13.5,-0.25
13.0,6.5
26.0,23.5
73.0,21.5
116.0,-44.0
28.0,14.0
56.0,3.5
63.0,0.5
64.0,85.75
235.5,-100.0
35.5,14.5
64.5,-24.75
15.0,23.75
62.5,15.5
93.5,48.75
191.0,-24.5
142.0,-55.25
31.5,-5.75
20.0,31.5
83.0,4.0
91.0,-34.5
22.0,29.0
80.0,-33.25
13.5,13.5
40.5,-9.0
22.5,-5.5
11.5,219.25
450.0,-208.0
34.0,13.25
60.5,-14.5
31.5,83.25
198.0,1119.0
2436.0,-1204.75
26.5,87.25
201.0,-56.75
87.5,98.5
284.5,-78.5
127.5,-158.0
-188.5,-158.0
